date,analyte,treatment,variable,n,mean,se,letter,shapiro_resid_p,anova_p,transformation
2024-06-07,Total Inorganic N,Sorghum,ppm,4,0.837,0.483,b,0.0019202880169830179,0.014255893308749172,Log-Transformed
2024-06-07,Total Inorganic N,Sorghum + Rye,ppm,4,1.378,0.067,ab,0.0019202880169830179,0.014255893308749172,Log-Transformed
2024-06-07,Total Inorganic N,Soy,ppm,4,1.207,0.378,b,0.0019202880169830179,0.014255893308749172,Log-Transformed
2024-07-17,Ammonium (NH4-N),Corn,ppm,3,0.088,0.016,,0.43264087784371397,0.7918762612624128,Raw Data
2024-07-17,Ammonium (NH4-N),Sorghum,ppm,4,0.085,0.005,,0.43264087784371397,0.7918762612624128,Raw Data
2024-07-17,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.077,0.007,,0.43264087784371397,0.7918762612624128,Raw Data
2024-07-17,Ammonium (NH4-N),Soy,ppm,4,0.082,0.005,,0.43264087784371397,0.7918762612624128,Raw Data
2024-07-17,Nitrate (NO3-N),Corn,ppm,3,1.216,0.19,,0.29987335937576354,0.22484772617470566,Raw Data
2024-07-17,Nitrate (NO3-N),Sorghum,ppm,4,1.004,0.35,,0.29987335937576354,0.22484772617470566,Raw Data
2024-07-17,Nitrate (NO3-N),Sorghum + Rye,ppm,4,0.861,0.12,,0.29987335937576354,0.22484772617470566,Raw Data
2024-07-17,Nitrate (NO3-N),Soy,ppm,4,1.49,0.077,,0.29987335937576354,0.22484772617470566,Raw Data
2024-07-17,Total Inorganic N,Corn,ppm,3,1.305,0.204,,0.4241028174994042,0.22166148636982658,Raw Data
2024-07-17,Total Inorganic N,Sorghum,ppm,4,1.089,0.345,,0.4241028174994042,0.22166148636982658,Raw Data
2024-07-17,Total Inorganic N,Sorghum + Rye,ppm,4,0.938,0.122,,0.4241028174994042,0.22166148636982658,Raw Data
2024-07-17,Total Inorganic N,Soy,ppm,4,1.572,0.078,,0.4241028174994042,0.22166148636982658,Raw Data
2024-11-26,Ammonium (NH4-N),Corn,ppm,3,0.181,0.004,,0.21436803476319893,0.13210296171785169,Raw Data
2024-11-26,Ammonium (NH4-N),Sorghum,ppm,4,0.143,0.02,,0.21436803476319893,0.13210296171785169,Raw Data
2024-11-26,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.186,0.01,,0.21436803476319893,0.13210296171785169,Raw Data
2024-11-26,Ammonium (NH4-N),Soy,ppm,4,0.164,0.007,,0.21436803476319893,0.13210296171785169,Raw Data
2024-11-26,Nitrate (NO3-N),Corn,ppm,3,0.838,0.066,,0.901169739936408,0.2538709796665025,Raw Data
2024-11-26,Nitrate (NO3-N),Sorghum,ppm,4,0.655,0.115,,0.901169739936408,0.2538709796665025,Raw Data
2024-11-26,Nitrate (NO3-N),Sorghum + Rye,ppm,4,0.846,0.086,,0.901169739936408,0.2538709796665025,Raw Data
2024-11-26,Nitrate (NO3-N),Soy,ppm,4,0.659,0.047,,0.901169739936408,0.2538709796665025,Raw Data
2024-11-26,Total Inorganic N,Corn,ppm,3,1.019,0.062,,0.8258641088176336,0.19214538499881922,Raw Data
2024-11-26,Total Inorganic N,Sorghum,ppm,4,0.797,0.122,,0.8258641088176336,0.19214538499881922,Raw Data
2024-11-26,Total Inorganic N,Sorghum + Rye,ppm,4,1.031,0.096,,0.8258641088176336,0.19214538499881922,Raw Data
2024-11-26,Total Inorganic N,Soy,ppm,4,0.823,0.051,,0.8258641088176336,0.19214538499881922,Raw Data
