date,analyte,treatment,variable,n,min,max,median,iqr,mean,sd,se,ci,letter,kruskal_p,test_method,group_type
2023,Total Inorganic N,Corn,ppm,8,4.923,332.392,7.411,4.175,48.19,114.871,40.613,96.035,a,0.00157,Kruskal-Wallis,By Year
2023,Total Inorganic N,Sorghum,ppm,8,5.41,7.64,6.081,0.699,6.349,0.691,0.244,0.578,a,0.00157,Kruskal-Wallis,By Year
2023,Total Inorganic N,Sorghum + Rye,ppm,8,1.865,5.404,3.457,2.351,3.58,1.356,0.479,1.134,b,0.00157,Kruskal-Wallis,By Year
2023,Total Inorganic N,Soy,ppm,6,4.441,10.902,8.823,3.146,8.177,2.461,1.005,2.582,a,0.00157,Kruskal-Wallis,By Year
2024,Ammonium (NH4-N),Corn,ppm,9,0.405,32.905,1.04,2.23,4.942,10.555,3.518,8.114,a,0.0359,Kruskal-Wallis,By Year
2024,Ammonium (NH4-N),Sorghum,ppm,12,0.046,1.082,0.492,0.348,0.48,0.305,0.088,0.194,a,0.0359,Kruskal-Wallis,By Year
2024,Ammonium (NH4-N),Sorghum + Rye,ppm,12,0.045,1.176,0.404,0.788,0.523,0.425,0.123,0.27,a,0.0359,Kruskal-Wallis,By Year
2024,Ammonium (NH4-N),Soy,ppm,12,0.088,1.027,0.434,0.495,0.544,0.312,0.09,0.198,a,0.0359,Kruskal-Wallis,By Year
2024,Nitrate (NO3-N),Corn,ppm,9,3.898,89.005,6.885,26.306,22.654,29.21,9.737,22.453,,0.18,Kruskal-Wallis,By Year
2024,Nitrate (NO3-N),Sorghum,ppm,12,0.157,11.763,3.861,4.198,4.7,3.696,1.067,2.349,,0.18,Kruskal-Wallis,By Year
2024,Nitrate (NO3-N),Sorghum + Rye,ppm,12,3.113,9,5.477,2.921,5.99,2.061,0.595,1.31,,0.18,Kruskal-Wallis,By Year
2024,Nitrate (NO3-N),Soy,ppm,12,0.164,10.17,7.222,5.348,6.322,3.199,0.923,2.033,,0.18,Kruskal-Wallis,By Year
2024,Total Inorganic N,Corn,ppm,9,4.938,121.91,7.62,28.32,27.595,39.014,13.005,29.988,,0.118,Kruskal-Wallis,By Year
2024,Total Inorganic N,Sorghum,ppm,12,0.203,12.137,4.534,3.99,5.18,3.709,1.071,2.357,,0.118,Kruskal-Wallis,By Year
2024,Total Inorganic N,Sorghum + Rye,ppm,12,3.478,9.15,6.587,2.528,6.513,1.839,0.531,1.168,,0.118,Kruskal-Wallis,By Year
2024,Total Inorganic N,Soy,ppm,12,0.462,10.759,7.656,4.64,6.866,3.05,0.881,1.938,,0.118,Kruskal-Wallis,By Year
