date,plot,flow_gallons,nitrate_mg_ml,ammonia_mg_l,sample_y_n,flow_l,approx_nitrate_mg_l,approx_ammonia_mg_l,nitrate_loss_mg,ammonia_loss_mg,total_n_loss_mg,year,treatment,cumulative_flow_l,cumulative_n_loss_mg
2023-01-08,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-08,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-08,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-08,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-08,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-08,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-08,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-08,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-08,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-08,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-08,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-08,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-08,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-08,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-09,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-09,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-09,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-09,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-09,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-09,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-09,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-09,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-09,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-09,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-09,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-09,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-09,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-09,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-09,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-10,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-10,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-10,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-10,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-10,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-10,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-10,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-10,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-10,09,1,NA,NA,NA,3.78541,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-10,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-10,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-10,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-10,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-10,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-10,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-11,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-11,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-11,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-11,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-11,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-11,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-11,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-11,08,9,NA,NA,NA,34.068690000000004,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-11,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-11,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-11,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-11,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-11,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-11,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-11,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-12,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-12,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-12,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-12,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-12,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-12,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-12,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-12,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-12,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-12,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-12,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-12,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-12,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-12,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-12,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-13,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-13,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-13,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-13,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-13,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-13,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-13,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-13,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-13,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-13,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-13,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-13,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-13,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-13,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-13,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-14,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-14,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-14,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-14,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-14,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-14,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-14,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-14,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-14,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-14,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-14,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-14,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-14,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-14,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-14,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-15,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-15,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-15,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-15,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-15,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-15,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-15,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-15,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-15,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-15,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-15,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-15,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-15,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-15,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-15,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-16,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-16,02,76,NA,NA,NA,287.69116,NA,NA,NA,NA,NA,2023,Sorghum,1332.46432,0
2023-01-16,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-16,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-16,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-16,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-16,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-16,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-16,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-16,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-16,11,215,NA,NA,NA,813.86315,NA,NA,NA,NA,NA,2023,Corn,813.86315,0
2023-01-16,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-16,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-16,14,115,NA,NA,NA,435.32215,NA,NA,NA,NA,NA,2023,Corn,13029.381220000001,0
2023-01-16,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-17,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-17,02,18,NA,NA,NA,68.13738000000001,NA,NA,NA,NA,NA,2023,Sorghum,1400.6017,0
2023-01-17,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-17,04,21,NA,NA,NA,79.49361,NA,NA,NA,NA,NA,2023,Soy,1695.8636800000002,0
2023-01-17,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-17,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-17,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-17,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-17,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
2023-01-17,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-17,11,135,NA,NA,NA,511.03035,NA,NA,NA,NA,NA,2023,Corn,1324.8935000000001,0
2023-01-17,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-17,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-17,14,34,NA,NA,NA,128.70394000000002,NA,NA,NA,NA,NA,2023,Corn,13158.08516,0
2023-01-17,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-18,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-18,02,4,NA,NA,NA,15.14164,NA,NA,NA,NA,NA,2023,Sorghum,1415.74334,0
2023-01-18,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-18,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1695.8636800000002,0
2023-01-18,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-18,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-18,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-18,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,34.068690000000004,0
2023-01-18,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,193.05591,0
